image_url,contributor_id,gender,age_group,language,voice_clip,duration,up_votes,down_votes
https://storage.googleapis.com/image_prompts/business3.jpg,91,Female,30-39,Runyankole-Rukiga,yogera_image_audio_20231005_081916.524323_2424.wav,0.00916666666666667,2,0
https://storage.googleapis.com/image_prompts/7fedf0b0-africa-2665146_1280.jpg,88,Male,30-39,Runyankole-Rukiga,yogera_image_audio_20231005_082502.181009_1349.wav,0.00583333333333333,2,0
https://storage.googleapis.com/image_prompts/1692885027-8195.jpg_s=612x612_w=0_k=20_c=Z6uhiYfvcBY6yA3VPt_t_yXe3dUPKdFiDav3GZEsIQw=.jpg,96,Female,30-39,Runyankole-Rukiga,yogera_image_audio_20231005_082626.450535_1719.wav,0.00583333333333333,2,0
https://storage.googleapis.com/image_prompts/unsplash-B218HPr.jpg,89,Male,18-29,Runyankole-Rukiga,yogera_image_audio_20231005_082932.205916_2674.wav,0.00972222222222222,2,0
https://storage.googleapis.com/image_prompts/Photo of the Week The Joy of a Bicycle.jpeg,91,Female,30-39,Runyankole-Rukiga,yogera_image_audio_20231005_083303.085515_2369.wav,0.0116666666666667,2,0
https://storage.googleapis.com/image_prompts/1692885155-9724.jpg_s=612x612_w=0_k=20_c=Fzoznd3l8s7Mafv1dOCwKWxcsnqTgaaYoj3kPGd85Ck=.jpg,80,Female,18-29,Runyankole-Rukiga,yogera_image_audio_20231005_083618.834811_1770.wav,0.00777777777777778,2,0
https://storage.googleapis.com/image_prompts/cc7900e3-g3fec213dfc81bc8d1a2bda8177a8467fb2f7bf5f71db061a89d7e9cbbac6943d271b_Ph7XBAu.jpg,85,Female,30-39,Runyankole-Rukiga,yogera_image_audio_20231005_083808.790440_2435.wav,0.005,2,0
https://storage.googleapis.com/image_prompts/unsplash-VaYqQqb.jpg,100,Male,18-29,Runyankole-Rukiga,yogera_image_audio_20231005_083943.857251_2808.wav,0.00527777777777778,3,0
https://storage.googleapis.com/image_prompts/Photo of the Week The Joy of a Bicycle.jpeg,105,Female,18-29,Runyankole-Rukiga,yogera_image_audio_20231005_084422.133334_2186.wav,0.00472222222222222,2,0
https://storage.googleapis.com/image_prompts/1692884849-5810.jpg_s=612x612_w=0_k=20_c=Nu71NzjDKf0xp1Az5CX1hKcUs8yRluN3ObMsdSnYWWo=.jpg,107,Male,30-39,Runyankole-Rukiga,yogera_image_audio_20231005_084444.771049_1028.wav,0.00583333333333333,2,0
